
🐼丨央视频道,#genre#
CCTV兵器科技,http://111.32.169.222/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513403.m3u8$超清1080P
CCTV卫生健康,http://111.32.169.222/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2012513503.m3u8$超清1080P
CCTV移动,http://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/649e19038fa74514ab3f00febbcd6de0/1200.m3u8$超清1080P

🦁丨卫视频道,#genre#

湖南卫视,http://111.20.33.70/TVOD/88888893/224/3221226211/index.m3u8$超清1080P
湖南卫视,http://222.175.159.226:808/hls/41/index.m3u8$超清1080P
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8$超清1080P
湖南卫视,http://39.134.67.136/PLTV/88888888/224/3221225977/index.m3u8$超清1080P
湖南卫视,http://39.135.138.58:18890/PLTV/88888888/224/3221225704/index.m3u8$超清1080P
湖南卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225745/index.m3u8$超清1080P

浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel14/1080p.m3u8
浙江卫视,http://222.175.159.226:808/hls/42/index.m3u8$超清1080P
浙江卫视,http://111.20.33.70/TVOD/88888893/224/3221226199/index.m3u8$超清1080P
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$超清1080P
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8$超清1080P
浙江卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225703/index.m3u8$超清1080P
浙江卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225744/index.m3u8$超清1080P

江苏卫视,http://183.207.255.197/live/program/live/jswshd/2300000/mnf.m3u8$超清1080P
江苏卫视,http://222.175.159.226:808/hls/44/index.m3u8$超清1080P
江苏卫视,http://39.134.67.110/PLTV/88888888/224/3221225938/index.m3u8$超清1080P
江苏卫视,http://39.134.66.163/PLTV/88888888/224/3221225503/index.m3u8$超清1080P
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225743/index.m3u8$超清1080P
江苏卫视,http://shbu.live.bestvcdn.com.cn:8080/live/program/live/jswshd/4000000/mnf.m3u8$超清1080P

广东卫视,http://111.20.33.93/TVOD/88888893/224/3221226216/index.m3u8$超清1080P
广东卫视,http://111.40.196.32/PLTV/88888888/224/3221225533/index.m3u8$超清1080P
广东卫视,http://222.175.159.226:808/hls/52/index.m3u8$超清1080P
广东卫视,http://39.134.66.163/PLTV/88888888/224/3221225966/index.m3u8$超清1080P
广东卫视,http://39.134.67.136/PLTV/88888888/224/3221225966/index.m3u8$超清1080P
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225701/index.m3u8$超清1080P

深圳卫视,http://222.175.159.226:808/hls/49/index.m3u8$超清1080P
深圳卫视,http://111.40.196.25/PLTV/88888888/224/3221225537/index.m3u8$超清1080P
深圳卫视,http://39.134.66.163/PLTV/88888888/224/3221225668/index.m3u8$超清1080P
深圳卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225700/index.m3u8$超清1080P
深圳卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225700/index.m3u8$超清1080P

北京卫视,http://111.40.196.25/PLTV/88888888/224/3221225540/index.m3u8$超清1080P
北京卫视,http://222.175.159.226:808/hls/45/index.m3u8$超清1080P
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8$超清1080P
北京卫视,http://39.134.67.185/PLTV/88888888/224/3221225678/index.m3u8$超清1080P
北京卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225673/index.m3u8$超清1080P

天津卫视,http://111.40.196.32/PLTV/88888888/224/3221225597/index.m3u8$超清1080P
天津卫视,http://222.175.159.226:808/hls/47/index.m3u8$超清1080P
天津卫视,http://39.134.67.185/PLTV/88888888/224/3221225972/index.m3u8$超清1080P
天津卫视,http://39.134.66.166/PLTV/88888888/224/3221225665/index.m3u8$超清1080P
天津卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225739/index.m3u8$超清1080P

凤凰卫视,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8$高清1080P
凤凰卫视,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8$高清1080P
凤凰卫视,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8$高清720P

东方卫视,http://111.40.196.35/PLTV/88888888/224/3221225509/index.m3u8$超清1080P
东方卫视,http://39.134.66.166/PLTV/88888888/224/3221225672/index.m3u8$超清1080P
东方卫视,http://222.175.159.226:808/hls/43/index.m3u8$超清1080P
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8$超清1080P
东方卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225658/index.m3u8$超清1080P

山东卫视,http://222.175.159.226:808/hls/19/index.m3u8$超清1080P
山东卫视,http://39.134.67.110/PLTV/88888888/224/3221225952/index.m3u8$超清1080P
山东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225738/index.m3u8$超清1080P
山东卫视,https://lives.jnnews.tv/video/s10001-SDTV/index.m3u8$超清1080P

湖北卫视,http://222.175.159.226:808/hls/51/index.m3u8$超清1080P$超清1080P
湖北卫视,http://39.135.138.60:18890/PLTV/88888910/224/3221225740/index.m3u88$超清1080P
湖北卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225740/index.m3u8$超清1080P
湖北卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225699/index.m3u8$超清1080P

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8$高清720P
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv$高清720P

四川卫视,http://222.175.159.226:808/hls/59/index.m3u8$超清1080P
四川卫视,http://39.134.67.110/PLTV/88888888/224/3221225970/index.m3u8$超清1080P
四川卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225733/index.m3u8$超清1080P
四川卫视,http://112.17.40.220/PLTV/88888888/224/3221231885/index.m3u8$超清1080P

重庆卫视,http://222.175.159.226:808/hls/54/index.m3u8$超清1080P
重庆卫视,http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000297803.m3u8$超清1080P
重庆卫视,http://111.20.33.70/TVOD/88888893/224/3221226202/index.m3u8$超清1080P
重庆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225734/index.m3u8$超清1080P
重庆卫视,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225692/index.m3u8$超清1080P

安徽卫视,http://111.40.196.25/PLTV/88888888/224/3221225551/index.m3u8$超清1080P
安徽卫视,http://222.175.159.226:808/hls/46/index.m3u8$超清1080P
安徽卫视,http://1.195.111.251:11190/tsfile/live/0130_1.m3u8$超清1080P
安徽卫视,http://111.20.33.93/TVOD/88888893/224/3221226203/index.m3u8$超清1080P
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225737/index.m3u8$超清1080P

黑龙江卫视,http://39.135.34.144:8080/000000001000/1000000001000009082/index.m3u8?test/PLTV/=02$超清1080P
